Date,Open,High,Low,Close,Adj Close,Volume
6/12/2010,10175.23047,10179.82031,10143.58008,10167.23047,10167.23047,95300000
7/12/2010,10152.91992,10167.09961,10094.41016,10141.09961,10141.09961,114800000
8/12/2010,10200.16016,10258.90039,10184.32031,10232.33008,10232.33008,126600000
9/12/2010,10277.87012,10298.25,10240.11035,10285.87988,10285.87988,153400000
10/12/2010,10373.7002,10373.7002,10194.26953,10211.9502,10211.9502,240700000
13/12/2010,10212.51953,10293.88965,10199.73047,10293.88965,10293.88965,145300000
14/12/2010,10272.7002,10319.24023,10267.21973,10316.76953,10316.76953,170500000
15/12/2010,10338.13965,10340.69043,10282.84961,10309.78027,10309.78027,137400000
16/12/2010,10297.54981,10347.38965,10282.54004,10311.29004,10311.29004,140800000
17/12/2010,10307.16992,10327.41992,10280.79981,10303.83008,10303.83008,140400000
20/12/2010,10296.54981,10301.15039,10182.74023,10216.41016,10216.41016,113600000
21/12/2010,10277.13965,10372.50977,10266.29004,10370.53027,10370.53027,113300000
22/12/2010,10348.48047,10394.21973,10327.59961,10346.48047,10346.48047,142100000
24/12/2010,10275.96973,10290.88965,10264.05957,10279.19043,10279.19043,86200000
27/12/2010,10292.83984,10376.91016,10292.83984,10355.99023,10355.99023,83100000
28/12/2010,10330.00977,10340.83984,10292.62988,10292.62988,10292.62988,77900000
29/12/2010,10282.83984,10344.54004,10276.61035,10344.54004,10344.54004,87600000
30/12/2010,10303.12988,10315.46973,10209.92969,10228.91992,10228.91992,107800000
4/1/2011,10352.19043,10409.16992,10321.28027,10398.09961,10398.09961,114100000
5/1/2011,10387.9502,10413.4502,10358.00977,10380.76953,10380.76953,114600000
6/1/2011,10477.51953,10530.11035,10477.51953,10529.75977,10529.75977,166000000
7/1/2011,10506.71973,10550.70996,10503.01953,10541.04004,10541.04004,161800000
11/1/2011,10484.62012,10538.38965,10476.29004,10510.67969,10510.67969,138500000
12/1/2011,10562.28027,10576.50977,10502.95996,10512.79981,10512.79981,170700000
13/1/2011,10593.45996,10620.57031,10565.28027,10589.75977,10589.75977,160900000
14/1/2011,10502.76953,10579.96973,10497.25977,10499.04004,10499.04004,170900000
17/1/2011,10562.08984,10562.38965,10482.69043,10502.86035,10502.86035,126700000
18/1/2011,10461.04004,10548.20996,10456.70996,10518.98047,10518.98047,126400000
19/1/2011,10567.87988,10580.67969,10534.01953,10557.09961,10557.09961,138600000
20/1/2011,10492.32031,10505.62988,10421.83008,10437.30957,10437.30957,132900000
21/1/2011,10459.04004,10461.07031,10257.99023,10274.51953,10274.51953,183900000
24/1/2011,10318.59961,10347.94043,10278.80957,10345.11035,10345.11035,134100000
25/1/2011,10374.63965,10480.24023,10355.79981,10464.41992,10464.41992,142900000
26/1/2011,10410.29004,10440.34961,10392.45996,10401.90039,10401.90039,111000000
27/1/2011,10466.33984,10496.40039,10421.75,10478.66016,10478.66016,145300000
28/1/2011,10460.29004,10480.08008,10332.65039,10360.33984,10360.33984,150700000
31/1/2011,10219.98047,10265.95996,10182.57031,10237.91992,10237.91992,146000000
1/2/2011,10281.54981,10299.37988,10245.75,10274.5,10274.5,149000000
2/2/2011,10368.48047,10479.75,10366.95996,10457.36035,10457.36035,180500000
3/2/2011,10424.67969,10450.45996,10409.83984,10431.36035,10431.36035,150700000
4/2/2011,10526.38965,10580.36035,10524.12988,10543.51953,10543.51953,200300000
7/2/2011,10641.29981,10644.20996,10572.71973,10592.04004,10592.04004,162300000
8/2/2011,10645.03027,10648.79981,10623.7002,10635.98047,10635.98047,150400000
9/2/2011,10686.71973,10701.91992,10599.5,10617.83008,10617.83008,165000000
10/2/2011,10574.79981,10631.94043,10570.62012,10605.65039,10605.65039,145600000
14/2/2011,10689.65039,10725.54004,10674.44043,10725.54004,10725.54004,140600000
15/2/2011,10738.80957,10760.99023,10712.49023,10746.66992,10746.66992,142700000
16/2/2011,10758.86035,10842.30957,10752.61035,10808.29004,10808.29004,189100000
17/2/2011,10882.91016,10891.59961,10820.48047,10836.63965,10836.63965,173700000
